Name,Host institution,City,Country,ID Card,OrganizationID,,,
"IRCCS-Istituto di Ricerche Farmacologiche Mario Negri, Bergamo",-,-,,http://catalogue.rd-connect.eu/web/irccs-istituto-di-ricerche-farmacologiche-mario-negri-bergamo/reg_home,220800,,,
"INSERM Unit 1048, Toulouse",-,-,,http://catalogue.rd-connect.eu/web/inserm-unit-1048-toulouse/reg_home,220978,,,
DRISS EL MOUSTAINE,-,-,,http://catalogue.rd-connect.eu/web/driss-el-moustaine/reg_home,230395,,,
Daccò Center Rare Disease Biobank,Clinical Research Center for Rare Diseases “Aldo e Cele Daccò”,Ranica (BG),,http://catalogue.rd-connect.eu/web/dacco-center-rare-disease-biobank/reg_home,230876,,,
Cell lines and DNA bank of hereditary cancers,"Medical Genetics, University of Siena",Siena,Italy,http://catalogue.rd-connect.eu/web/cell-lines-and-dna-bank-of-hereditary-cancers/bb_home?p_p_id=people_WAR_BiBBoxCommonServicesportlet&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&_people_WAR_BiBBoxCommonServicesportlet_javax.portlet.action=addUser,261780,,,
Biobank of Test,-,-,,http://catalogue.rd-connect.eu/web/biobank-of-test/reg_home,36045,,,
Biobank of the Institute of Rare Diseases Research/Institute of Health Carlos III (IIER-ISCIII),"Avda. Monforte de Lemos, 5",Madrid,Spain,http://catalogue.rd-connect.eu/web/44001/bb_home,44001,,,
Austrian Bone Marrow Donor Registry,Manager of registry : ? Pr Agathe ROSENMAYR Fonds ?sterreichisches,-,,http://catalogue.rd-connect.eu/web/austrian-bone-marrow-donor-registry/reg_home,44358,,,
Biobank of the United States of Aland,Am Föhrengrund 27,-,,http://catalogue.rd-connect.eu/web/biobank-of-the-anited-states-of-aland/reg_home,44520,,,
"Cell line and DNA Bank of Genetic Movement Dis and Mitochondrial Dis - Besta Institute Milano, Italy",IRCCS FOUNDATION NEUROLOGICAL INSTITUTE CARLO BESTA,MILAN,Italy,http://catalogue.rd-connect.eu/web/bank-for-the-diagnosis-and-research-of-movement-disorders-mdb-fondazione-i.r.c.c.s-istituto-neuro/bb_home,45274,,,
"Bank ""Cells, tissues and DNA from patients with neuromuscular diseases"", Ist. Neurologico C. Besta","Muscle Cell Biology Lab, Neuromuscular Diseases and Neuroimmunology Unit,",Milano,Italy,http://catalogue.rd-connect.eu/web/bank-of-the-muscle-cell-biology-laboratory-fondazione-i.r.c.c.s-istituto-neurologico-carlo-besta/bb_home,45401,,,
Vulcan Biobank of Silicosis Diseases,T'Pol Street 8,ShiKahr,,http://catalogue.rd-connect.eu/web/vulcan-biobank-of-silicosis-diseases/reg_home,58411,,,
Cell line and DNA Biobank from patients affected by Genetic Diseases,Istituto Giannina Gaslini,Genova,Italy,http://catalogue.rd-connect.eu/web/cell-line-and-dna-biobank-from-patients-affected-by-genetic-diseases/bb_home,62316,,,
CIBERER Biobank,"CIBER, ISCIII - Ministry of Economy, Industry and Competitiveness",Madrid,Spain,http://catalogue.rd-connect.eu/web/ciberer-biobank/bb_home,76823,,,
"Bank for the Diagnosis and Research on Neuromuscular Disorders (NHMGB), Cardiomyology and Medical Ge",Second University of Naples - Cardiomyology and Medical Genetics,Naples,Italy,http://catalogue.rd-connect.eu/web/bank-for-the-diagnosis-and-research-on-neuromuscular-disorders-nhmgb-cardiomyology-and-medical-ge/bb_home,76957,,,
Genomic and Genetic Disorders Biobank,Genomic Disorders BiobankMedical Genetics Unit IRCCS Casa Sollievo della,San Giovanni Rotondo,,http://catalogue.rd-connect.eu/web/genomic-disorders-biobank/bb_home,77088,,,
"Biobank of skeletal muscle, peripheral nerve, DNA and cell cultures",Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico Milan University,Milan,Italy,http://catalogue.rd-connect.eu/web/dna-cell-lines-and-nerve-muscle-cardiac-tissues-bank-uos-malattie-neuromuscolari-universita-studi/bb_home,77219,,,
Galliera Genetic Bank,Laboratory of Human Genetics - E.O. Ospedali Galliera,Genova,Italy,http://catalogue.rd-connect.eu/web/galliera-genetic-bank/bb_home,77350,,,
Neuromuscular Bank of Tissues and DNA samples,University of Padova-Azienda Ospedaliera,Padova,Italy,http://catalogue.rd-connect.eu/web/neuromuscular-tissue-bank-nmtb-department-of-neurosciences-university-of-padova/bb_home,77489,,,
Cells lines and DNA bank of Rett syndrome and other X-linked mental retardation,"Medical Genetics, University of Siena",Siena,Italy,http://catalogue.rd-connect.eu/web/cells-lines-and-dna-bank-of-rett-syndrome-and-other-x-linked-mental-retardation/bb_home,77630,,,
Parkinson Institute Biobank,"Parkinson Institute, ASST ""pini-CTO (ex Istituti Clinici di Perfezionamento",Milano,Italy,http://catalogue.rd-connect.eu/web/parkinson-institute-biobank/bb_home,77761,,,
Newcastle MRC Biobank for Rare and Neuromuscular Diseases,The John Walton Muscular Dystrophy Research Centre,Newcastle upon Tyne,United Kingdom,http://catalogue.rd-connect.eu/web/mrc-centre-for-neuromuscular-diseases-biobank-newcastle/bb_home,87919,,,
Malta BioBank,University of Malta,Msdia,Malta,http://catalogue.rd-connect.eu/web/bank-of-the-molecular-genetics-laboratory-universita-ta-malta/bb_home,88051,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Biobank Graz,,,,,,,,
ISO-9001,,,,,,,,
"Collection types: Cohort, Longitudinal, Population-based, Disease specific, Sample collection, Image collection, Case-Control",,,,,,,,
Juridical person: Medical University of Graz,,,,,,,,
Collection,Type,Materials,Standards,#Samples,,,,
BioPersMed Cohort,"Cohort, Longitudinal, Population-based, Disease specific, Sample collection","Urine, Other, Serum, Plasma",CEN/TS 16945:2016,214158,,,,
"SubcollectionTypeMaterialsStandards#SamplesBioPersMed Cohort - BioPersMed Cohort Cohort, Longitudinal, Population-based, Disease specific, Sample collection Other 10710 BioPersMed Cohort - BioPersMed Cohort Cohort, Longitudinal, Population-based, Disease specific, Sample collection Plasma 31661 BioPersMed Cohort - BioPersMed Cohort Cohort, Longitudinal, Population-based, Disease specific, Sample collection Urine 47809 BioPersMed Cohort - BioPersMed Cohort Cohort, Longitudinal, Population-based, Disease specific, Sample collection Urine 85 BioPersMed Cohort - BioPersMed Cohort Cohort, Longitudinal, Population-based, Disease specific, Sample collection Plasma 25231 BioPersMed Cohort - BioPersMed Cohort Cohort, Longitudinal, Population-based, Disease specific, Sample collection Plasma 28435 BioPersMed Cohort - BioPersMed Cohort Cohort, Longitudinal, Population-based, Disease specific, Sample collection Serum 70227",,,,,,,,
Colorectal Cancer Collection,"Population-based, Disease specific, Sample collection, Image collection","Tissue (frozen), Serum, Tissue (paraffin preserved)",,169815,,,,
"SubcollectionTypeMaterialsStandards#SamplesColorectal Cancer Collection - Colorectal Tissue Population-based, Disease specific, Sample collection, Image collection Tissue (frozen) 1461 Colorectal Cancer Collection - Colorectal Tissue Population-based, Disease specific, Sample collection, Image collection Tissue (frozen) 1029 Colorectal Cancer Collection - Colorectal Tissue Population-based, Disease specific, Sample collection, Image collection Tissue (frozen) 24 Colorectal Cancer Collection - Colorectal Tissue Population-based, Disease specific, Sample collection, Image collection Tissue (paraffin preserved) 24523 Colorectal Cancer Collection - Colorectal Tissue Population-based, Disease specific, Sample collection, Image collection Tissue (paraffin preserved) 14576 Colorectal Cancer Collection - Colorectal Tissue Population-based, Disease specific, Sample collection, Image collection Tissue (paraffin preserved) 13308 Colorectal Cancer Collection - Colorectal Tissue Population-based, Disease specific, Sample collection, Image collection Tissue (paraffin preserved) 24771 Colorectal Cancer Collection - Colorectal Liquid samples Population-based, Disease specific, Sample collection, Image collection Serum 8716 Colorectal Cancer Collection - Colorectal Liquid samples Population-based, Disease specific, Sample collection Serum 1186 Colorectal Cancer Collection - Colorectal Liquid samples Population-based, Disease specific, Sample collection Serum 10321 Colorectal Cancer Collection - Colorectal Liquid samples Population-based, Disease specific, Sample collection Serum 3285 Colorectal Cancer Collection - Colorectal Liquid samples Population-based, Disease specific, Sample collection Serum 3413 Colorectal Cancer Collection - Colorectal Liquid samples Population-based, Disease specific, Sample collection Serum 3237 Colorectal Cancer Collection - Colorectal Liquid samples Population-based, Disease specific, Sample collection Serum 1779 Colorectal Cancer Collection - Colorectal Liquid samples Population-based, Disease specific, Sample collection Serum 23702 Colorectal Cancer Collection - Colorectal Liquid samples Population-based, Disease specific, Sample collection, Image collection Serum 164 Colorectal Cancer Collection - Colorectal Liquid samples Population-based, Disease specific, Sample collection, Image collection Serum 11518 Colorectal Cancer Collection - Colorectal Liquid samples Population-based, Disease specific, Sample collection Serum 3619 Colorectal Cancer Collection - Colorectal Liquid samples Population-based, Disease specific, Sample collection, Image collection Serum 19183",,,,,,,,
Cryo preserved tissue Collection,"Population-based, Sample collection, Image collection",Tissue (frozen),,144439,,,,
