RaDiCo-EURBIO-Alport - European cohort on Alport Syndrome,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-eurbio-alport/reg_home,105062,,,,,,,,,,,,,,,,,,
3q29 deletion Registry,Department of Epideminology,Atlanta,United States,http://catalogue.rd-connect.eu/web/3q29-deletion-registry/reg_home,10779,,,,,,,,,,,,,,,,,,
Alagille Syndrome Alliance International Registry,Alagille Syndrome Alliance,Wilsonville,United States,http://catalogue.rd-connect.eu/web/alagille-syndrome-alliance-international-registry/reg_home,10797,,,,,,,,,,,,,,,,,,
American Partnership for Eosinophilic Disorders,American Partnership for Eosinophilic Disorders (APFED),Atlanta,United States,http://catalogue.rd-connect.eu/web/american-partnership-for-eosinophilic-disorders/reg_home,10809,,,,,,,,,,,,,,,,,,
Australian National Duchenne Muscular Dystrophy Registry,Office of Population Health Genomics,Perth,Australia,http://catalogue.rd-connect.eu/web/australian-national-duchenne-muscular-dystrophy-registry/reg_home,10833,,,,,,,,,,,,,,,,,,
Australian National Spinal Muscular Atrophy Registry,c/o Office of Population Health Genomics,Perth,Australia,http://catalogue.rd-connect.eu/web/australian-national-spinal-muscular-atrophy-registry/reg_home,10845,,,,,,,,,,,,,,,,,,
Barth Syndrome Registry & Repository,Barth Syndrome Foundation,Iselin,United States,http://catalogue.rd-connect.eu/web/barth-syndrome-registry-repository/reg_home,10869,,,,,,,,,,,,,,,,,,
C.R.A.VA.T.,-,-,,http://catalogue.rd-connect.eu/web/c.r.a.v.a.t./reg_home,10881,,,,,,,,,,,,,,,,,,
Clinical Registry Investigating Bardet-Biedl Syndrome,Marshfield Clinic Research Foundation,Marshfield,United States,http://catalogue.rd-connect.eu/web/clinical-registry-investigating-bardet-biedl-syndrome/reg_home,10917,,,,,,,,,,,,,,,,,,
Cornelia de Lange Syndrome Foundation,Cornelia de Lange Syndrome Foundation,"Avon, Connecticut",United States,http://catalogue.rd-connect.eu/web/cornelia-de-lange-syndrome-foundation/reg_home,10941,,,,,,,,,,,,,,,,,,
Cure Cystinosis International Registry,University of California,San Diego,United States,http://catalogue.rd-connect.eu/web/cure-cystinosis-international-registry/reg_home,10965,,,,,,,,,,,,,,,,,,
Cystinuria registry,New York University,New York,United States,http://catalogue.rd-connect.eu/web/cystinuria-registry/reg_home,10977,,,,,,,,,,,,,,,,,,
DM Scope (Myotonic dystrophy patient registry in France),Reference Neuromuscular Center,Créteil Cedex,France,http://catalogue.rd-connect.eu/web/dm-scope-myotonic-dystrophy-patient-registry-in-france-/reg_home,10989,,,,,,,,,,,,,,,,,,
"Dandy-Walker Alliance, Inc.",-,-,,http://catalogue.rd-connect.eu/web/dandy-walker-alliance-inc./reg_home,11001,,,,,,,,,,,,,,,,,,
DuchenneConnect Registry,Parent Project Muscular Dystrophy (PPMD),-,,http://catalogue.rd-connect.eu/web/duchenneconnect-patient-registry/reg_home,11025,,,,,,,,,,,,,,,,,,
Dup15q Alliance International Registry,Dup15q Alliance,Highland Park,United States,http://catalogue.rd-connect.eu/web/dup15q-alliance-international-registry/reg_home,11037,,,,,,,,,,,,,,,,,,
EBCare Registry,DEBRA International,Vienna,Austria,http://catalogue.rd-connect.eu/web/ebcare-registry/reg_home,11049,,,,,,,,,,,,,,,,,,
ERCUSYN: European registry on Cushing's syndrome,Institut de Recerca de l’Hospital de la Santa Creu i Sant Pau Fundacion,Barcelona,Spain,http://catalogue.rd-connect.eu/web/ercusyn-european-registry-on-cushing-s-syndrome/reg_home,11061,,,,,,,,,,,,,,,,,,
EUROSCA-R: European patient registry on spinocerebellar ataxias,University Hospital Bonn,Bonn,Germany,http://catalogue.rd-connect.eu/web/eurosca-r-european-patient-registry-on-spinocerebellar-ataxias/reg_home,11085,,,,,,,,,,,,,,,,,,
European Alport Therapy Registry,University Medicine Goettingen,Goettingen,Germany,http://catalogue.rd-connect.eu/web/european-alport-registry/reg_home,11097,,,,,,,,,,,,,,,,,,
European CHS registry,Hôpital Robert Debré,Paris,France,http://catalogue.rd-connect.eu/web/european-chs-registry/reg_home,11109,,,,,,,,,,,,,,,,,,
European Cystic Fibrosis Society Patient Registry,ECFS Kastieparken 7,Karup,Denmark,http://catalogue.rd-connect.eu/web/european-cystic-fibrosis-society-patient-registry-ecfs-registry/reg_home,11121,,,,,,,,,,,,,,,,,,
European HD REGISTRY,Ulm University Hospital,Ulm,Germany,http://catalogue.rd-connect.eu/web/european-hd-registry/reg_home,11133,,,,,,,,,,,,,,,,,,
European Registry for Intoxication type Metabolic Diseases,University Children's Hospital,Heidelberg,Germany,http://catalogue.rd-connect.eu/web/european-registry-for-intoxication-type-metabolic-diseases/reg_home,11145,,,,,,,,,,,,,,,,,,
FALS Connect,University of Miami,Miami,United States,http://catalogue.rd-connect.eu/web/fals-connect/reg_home,11169,,,,,,,,,,,,,,,,,,
FOD (Fatty Oxidation Disorders) Family Support Group,Family Support Group,Okemos,United States,http://catalogue.rd-connect.eu/web/fod-fatty-exidation-disorders-family-support-group/reg_home,11181,,,,,,,,,,,,,,,,,,
17q12 Interest Group registry,-,-,,http://catalogue.rd-connect.eu/web/geisinger-autism-developmental-medicine-institute/reg_home,11193,,,,,,,,,,,,,,,,,,
Global Fukutin Related Protein Registry,Institute of Genetic Medicine,Newcastle upon Tyne,,http://catalogue.rd-connect.eu/web/global-fkrp-registry/reg_home,11217,,,,,,,,,,,,,,,,,,
The NIH/NCATS GRDR® Program_,NCATS National Institute of Health,Bethesda,United States,http://catalogue.rd-connect.eu/web/global-rare-diseases-patient-registry-and-data-repository/reg_home,11229,,,,,,,,,,,,,,,,,,
Global Registry for Inherited Neuropathy (HNF),Hereditary Neuropathy Foundation,New York,United States,http://catalogue.rd-connect.eu/web/global-registry-for-inherited-neuropathy-hnf-/reg_home,11241,,,,,,,,,,,,,,,,,,
HARLEY CGRN Registry,Pediatric Gluacoma,New Castle,United States,http://catalogue.rd-connect.eu/web/harley-cgrn-registry/reg_home,11253,,,,,,,,,,,,,,,,,,
HD Study Group Natural History Database,Huntington Study Group,New York,United States,http://catalogue.rd-connect.eu/web/hd-study-group-natural-history-database/reg_home,11265,,,,,,,,,,,,,,,,,,
I-DSD: International disorders of sex development registry,University of Glasgow,GLASGOW,United Kingdom,http://catalogue.rd-connect.eu/web/i-dsd-european-disorders-of-sexual-development-registry/reg_home,11277,,,,,,,,,,,,,,,,,,
International Cholangiocarcinoma Patient Registry,The Cholangiocarcinoma Foundation,Salt Lake City,United States,http://catalogue.rd-connect.eu/web/international-cholangiocarcinoma-patient-registry/reg_home,11289,,,,,,,,,,,,,,,,,,
Alport Syndrome Treatments and Outcomes Registry,University of Minnesota Medical School,Duluth,United States,http://catalogue.rd-connect.eu/web/alport-syndrome-treatments-and-outcomes-registry/reg_home,112988,,,,,,,,,,,,,,,,,,
International Essential Tremor Foundation,-,-,,http://catalogue.rd-connect.eu/web/international-essential-tremor-foundation/reg_home,11301,,,,,,,,,,,,,,,,,,
International LGDA Registry for Lymphatic Malformations,Lymphangiomatosis and Gorham’s Disease Alliance,Boca Raton,United States,http://catalogue.rd-connect.eu/web/international-lgda-registry-for-lymphatic-malformations/reg_home,11313,,,,,,,,,,,,,,,,,,
CoF-AT study: a French cohort on ataxia-telangiectasia,Institut Curie,Paris,France,http://catalogue.rd-connect.eu/web/cof-at-study-a-french-cohort-on-ataxia-telangiectasia/reg_home,113165,,,,,,,,,,,,,,,,,,
International Registry of Hemolytic Uremic Syndrome and Thrombotic Thrombocytopenic Purpura,"IRCCS - Istituto di Ricerche Farmacologiche ""Mario Negri""",Ranica,Italy,http://catalogue.rd-connect.eu/web/international-registry-of-hemolytic-uremic-syndrome-and-thrombotic-thrombocytopenic-purpura/reg_home,11325,,,,,,,,,,,,,,,,,,
Ataxia-Telangiectasia patient registry,Johann Wolfgang Goethe-Universität,Frankfurt,Germany,http://catalogue.rd-connect.eu/web/ataxia-telangiectasia-patient-registry/reg_home,113297,,,,,,,,,,,,,,,,,,
Registry of Steroid-Resistant Nephrotic Syndrome,"IRCCS - Istituto di Ricerche Farmacologiche ""Mario Negri""",Ranica (BG),Italy,http://catalogue.rd-connect.eu/web/international-registry-of-steroid-resistant-nephrotic-syndrome/reg_home,11337,,,,,,,,,,,,,,,,,,
German alpha-1 antitrypsin deficiency registry,Saarland University Hospital,Homburg/Saar,Germany,http://catalogue.rd-connect.eu/web/german-alpha-1-antitrypsin-deficiency-registry/reg_home,113478,,,,,,,,,,,,,,,,,,
Rare Kidney Stone Consortium Registry,Mayo Clinic,Rochester,United States,http://catalogue.rd-connect.eu/web/international-registry-for-primary-hyperoxaluria/reg_home,11349,,,,,,,,,,,,,,,,,,
Intracranial Hypertension Research Foundation,The Intracranial Hypertension Research Foundation,Washington,United States,http://catalogue.rd-connect.eu/web/intracranial-hypertension-research-foundation/reg_home,11361,,,,,,,,,,,,,,,,,,
Registry of Membranoproliferative Glomerulonephritis (MPGN),"IRCCS - Istituto di Ricerche Farmacologiche ""Mario Negri""",Ranica (BG),Italy,http://catalogue.rd-connect.eu/web/italian-registry-of-membranoproliferative-glomerulonephritis-mpgn-/reg_home,11373,,,,,,,,,,,,,,,,,,
Italian cystic fibrosis patient registry,Istituto Superiore di Sanità,Roma,Italy,http://catalogue.rd-connect.eu/web/italian-cystic-fibrosis-patient-registry/reg_home,11385,,,,,,,,,,,,,,,,,,
Jonah’s Just Begun Foundation to Cure Sanfilippo and Ben’s Dream-Sanfilippo Research Foundation,-,-,,http://catalogue.rd-connect.eu/web/jonah-s-just-begun-foundation-to-cure-sanfilippo-inc-and-ben-s-dream-sanfilippo-research-foundation/reg_home,11397,,,,,,,,,,,,,,,,,,
Kidney Cancer Association,PatientCrossroads,La Jolla,United States,http://catalogue.rd-connect.eu/web/kidney-cancer-association/reg_home,11409,,,,,,,,,,,,,,,,,,
EUROWILSON: European clinical database for Wilson disease,"hôpitaux universitaires Saint-Louis, Lariboisière, Fernand-Widal",Paris,France,http://catalogue.rd-connect.eu/web/eurowilson-european-clinical-database-for-wilson-disease/reg_home,114240,,,,,,,,,,,,,,,,,,
Lipodystrophy Connect,PatientCrossroads,San Mateo,United States,http://catalogue.rd-connect.eu/web/lipodystrophy-connect/reg_home,11433,,,,,,,,,,,,,,,,,,
Severe Chronic Neutropenia International Registry,Medizinische Hochschule Hannover,Hannover,,http://catalogue.rd-connect.eu/web/scnir-europe/reg_home,114413,,,,,,,,,,,,,,,,,,
Living With Trisomy 13,PatientCrossroads,La Jolla,United States,http://catalogue.rd-connect.eu/web/living-with-trisomy-13/reg_home,11445,,,,,,,,,,,,,,,,,,
MITOCON: Italian Registry of Mitochondrial Diseases,Mitocon Onlus,Rome,Italy,http://catalogue.rd-connect.eu/web/mitocon-italian-registry-of-mitochondrial-diseases/reg_home,11457,,,,,,,,,,,,,,,,,,
Austrian Haemophilia Registry,Medical University of Vienna,Vienna,Austria,http://catalogue.rd-connect.eu/web/austrian-haemophilia-registry/reg_home,114818,,,,,,,,,,,,,,,,,,
My Retina Tracker,Foundation Fighting Blindness,Columbia,United States,http://catalogue.rd-connect.eu/web/my-retina-tracker/reg_home,11485,,,,,,,,,,,,,,,,,,
Czech National Programme for Haemophilia,"Institute of Biostatistics and Analyses, Masaryk University",Brno,Czech Republic,http://catalogue.rd-connect.eu/web/czech-national-programme-for-haemophilia/reg_home,114950,,,,,,,,,,,,,,,,,,
Myotonic Dystrophy Family Registry,Myotonic Dystrophy Foundation,San Francisco,United States,http://catalogue.rd-connect.eu/web/myotonic-dystrophy-family-registry/reg_home,11497,,,,,,,,,,,,,,,,,,
NBS Connect,Emory University School of Medicine,Decatur,United States,http://catalogue.rd-connect.eu/web/nbs-connect/reg_home,11509,,,,,,,,,,,,,,,,,,
FranceCoag: French cohort of patients suffering from hereditary coagulation disorders,Institut de veille sanitaire,Saint-Maurice cede,France,http://catalogue.rd-connect.eu/web/francecoag-french-prospective-cohort-of-patients-affected-with-haemophilia-or-severe-form-of-other-/reg_home,115131,,,,,,,,,,,,,,,,,,
Neurofibromatosis Registry,Children's Tumor Foundation,New York,United States,http://catalogue.rd-connect.eu/web/nf-registry/reg_home,11521,,,,,,,,,,,,,,,,,,
National Foundation for Ectodermal Dysplasias (NFED),National Foundation for Ectodermal Dysplasias (NFED),Mascoutah,United States,http://catalogue.rd-connect.eu/web/national-foundation-for-ectodermal-dysplasias-nfed-/reg_home,11533,,,,,,,,,,,,,,,,,,
German Haemophilia Registry (DHR),Paul-Ehrlich-Institut,Langen,Germany,http://catalogue.rd-connect.eu/web/german-haemophilia-registry-dhr-/reg_home,115425,,,,,,,,,,,,,,,,,,
German Purpura Schoenlein-Henoch-Nephritis registry,Universitätsklinikum Freiburg,Freiburg,Germany,http://catalogue.rd-connect.eu/web/national-pshn-registry/reg_home,11545,,,,,,,,,,,,,,,,,,
Serbian registry of hemophilia and von Willebrand disease,Blood Transfusion Institute of Serbia,Belgrade,Serbia,http://catalogue.rd-connect.eu/web/serbian-registry-of-hemophilia-and-von-willebrand-disease-patients/reg_home,115612,,,,,,,,,,,,,,,,,,
National Registry for Myotonic Dystrophy (DM) and Facioscapulohumeral Dystrophy (FSHD),University of Rochester Medical Center,Rochester,United States,http://catalogue.rd-connect.eu/web/national-registry-for-myotonic-dystrophy-dm-and-facioscapulohumeral-dystrophy-fshd-/reg_home,11573,,,,,,,,,,,,,,,,,,
NHD- National Haemophilia Database,United Kingdom Haemophilia Centre Doctors' Organisation,Manchester,United Kingdom,http://catalogue.rd-connect.eu/web/115781/reg_home,115781,,,,,,,,,,,,,,,,,,
NephCure Kidney Network Primary Nephrotic Syndrome Patient Registry,NephCure Kidney International,King of Prussia,United States,http://catalogue.rd-connect.eu/web/nephcure-kidney-network-primary-nephrotic-syndrome-patient-registry/reg_home,11585,,,,,,,,,,,,,,,,,,
North Star database,Dubowitz Neuromuscular Centre,London,United Kingdom,http://catalogue.rd-connect.eu/web/north-star-database/reg_home,11597,,,,,,,,,,,,,,,,,,
Organic Acidemia Association,PatientCrossroads,La Jolla,United States,http://catalogue.rd-connect.eu/web/organic-acidemia-association/reg_home,11609,,,,,,,,,,,,,,,,,,
National Haemophilia Register (Clintech),National Centre for Hereditary Coagulation Disorders (NCHCD),Dublin,Ireland,http://catalogue.rd-connect.eu/web/national-haemophilia-register-clintech-/reg_home,116091,,,,,,,,,,,,,,,,,,
PA International Patient Registry,PatientCrossroads,La Jolla,United States,http://catalogue.rd-connect.eu/web/pa-international-patient-registry/reg_home,11621,,,,,,,,,,,,,,,,,,
Australian Bleeding Disorders Registry (ABDR),National Blood Authority,Herston QLD,Australia,http://catalogue.rd-connect.eu/web/australian-bleeding-disorders-registry-abdr-/reg_home,116248,,,,,,,,,,,,,,,,,,
PCDH19 Alliance,PCDH19 Alliance,Novato,United States,http://catalogue.rd-connect.eu/web/pcdh19-alliance/reg_home,11633,,,,,,,,,,,,,,,,,,
Alpha One Foundation Registry,"Alpha-1 Suite, Beaumont Hospital",Dublin 9,Ireland,http://catalogue.rd-connect.eu/web/the-national-alpha-1-antitrypsin-deficiency-registry/reg_home,116406,,,,,,,,,,,,,,,,,,
PMG Awareness Organization,PatientCrossroads,La Jolla,United States,http://catalogue.rd-connect.eu/web/pmg-awareness-organization/reg_home,11645,,,,,,,,,,,,,,,,,,
PNH Registry,"Alexion Pharmaceuticals, Inc.OneSource™",Cheshire,United States,http://catalogue.rd-connect.eu/web/pnh-registry/reg_home,11657,,,,,,,,,,,,,,,,,,
PODONET: Registry for Steroid-Resistant Nephrotic Syndrome (SRNS) patients,Division of Pediatric Nephrology,Heidelberg,Germany,http://catalogue.rd-connect.eu/web/podonet-registry-for-steroid-resistant-nephrotic-syndrome-srns-patients/reg_home,11669,,,,,,,,,,,,,,,,,,
"PRISMS, (Parents and Researchers Interested in Smith-Magenis Sydrome)",PRISMS,Sterling,United States,http://catalogue.rd-connect.eu/web/prisms-parents-and-researchers-interested-in-smith-magenis-snydrome-/reg_home,11681,,,,,,,,,,,,,,,,,,
PROMPT (Prospective Registry of Multiplex Testing),Prospective Registry of Multiplex Testing (PROMPT),New York,United States,http://catalogue.rd-connect.eu/web/prompt-prospective-registry-of-multiplex-testing-/reg_home,11693,,,,,,,,,,,,,,,,,,
PSC Partners Seeking a Cure,PSC Partners Seeking a Cure,Englewood,United States,http://catalogue.rd-connect.eu/web/psc-partners-seeking-a-cure/reg_home,11705,,,,,,,,,,,,,,,,,,
Pachyonychia Congenita Project,PC Project,alt Lake City,United States,http://catalogue.rd-connect.eu/web/pachyonychia-congenita-project/reg_home,11717,,,,,,,,,,,,,,,,,,
Paroxysmal Nocturnal Hemoglobinuria Registry,Istituto Superiore di Sanità,Roma,Italy,http://catalogue.rd-connect.eu/web/paroxysmal-nocturnal-hemoglobinuria-registry/reg_home,11729,,,,,,,,,,,,,,,,,,
Patient registry for primary hyperoxaluria,Universitätsklinik Bonn,Bonn,Germany,http://catalogue.rd-connect.eu/web/patient-registry-for-primary-hyperoxaluria/reg_home,11741,,,,,,,,,,,,,,,,,,
Phelan-McDermid Syndrome International Registry,Phelan-McDermid Syndrome Foundation,Venice,United States,http://catalogue.rd-connect.eu/web/phelan-mcdermid-syndrome-international-registry/reg_home,11753,,,,,,,,,,,,,,,,,,
PrenatalArray.org,Geisinger Health Systems,Danville,United States,http://catalogue.rd-connect.eu/web/prenatalarray.org/reg_home,11765,,,,,,,,,,,,,,,,,,
Nephrotic Syndrome Study Network,University of Michigan,Ann Arbor,United States,http://catalogue.rd-connect.eu/web/rdcrn-registry-for-nephrotic-syndrome-or-glomerular-disease/reg_home,11777,,,,,,,,,,,,,,,,,,
REaDY-Registry of muscular DYstrophy,Masaryk University,Brno,Czech Republic,http://catalogue.rd-connect.eu/web/ready-registry-of-muscolar-dystrophy/reg_home,11789,,,,,,,,,,,,,,,,,,
Rare Cancer Genetics Registry,Massachusetts General Hospital Biostatistics Center,Boston,United States,http://catalogue.rd-connect.eu/web/rare-cancer-genetics-registry/reg_home,11801,,,,,,,,,,,,,,,,,,
Czech National Rare Renal cancers,"Institute of Biostatistics and Analysis, Masaryk University",Brno,Czech Republic,http://catalogue.rd-connect.eu/web/rare-renal-cancers/reg_home,11813,,,,,,,,,,,,,,,,,,
Italian National Rare Disease Registry,Istituto Superiore di Sanità,Roma,Italy,http://catalogue.rd-connect.eu/web/registro-italiano-malattie-rare/reg_home,11825,,,,,,,,,,,,,,,,,,
Registro Italiano Trombocitemia,"Viale Risorgimento, 80",Reggio Emilia,Italy,http://catalogue.rd-connect.eu/web/registro-italiano-trombocitemia/reg_home,11837,,,,,,,,,,,,,,,,,,
RenalTube: patient registry of primary tubulopathies,"Servicio de Pediatria, Hospital Universitario Central de Asturias",Oviedo,Spain,http://catalogue.rd-connect.eu/web/renaltube-patient-registry-of-primary-tubulopathies/reg_home,11849,,,,,,,,,,,,,,,,,,
Sarcoidosis Advanced Registry for Cures (SARC),Foundation for Sarcoidosis Research,Chicago,United States,http://catalogue.rd-connect.eu/web/sarcoidosis-advanced-registry-for-cures-sarc-/reg_home,11861,,,,,,,,,,,,,,,,,,
Simons VIP CONNECT,Simons Foundation,New York,United States,http://catalogue.rd-connect.eu/web/simons-vip-connect/reg_home,11873,,,,,,,,,,,,,,,,,,
Spanish registry of renal hereditary diseases,Servicio de Nefrología,Barcellona,Spain,http://catalogue.rd-connect.eu/web/spanish-registry-of-renal-hereditary-diseases/reg_home,11885,,,,,,,,,,,,,,,,,,
Sudden Arrhythmia Death Syndrome (SADS),SADS Foundation,Salt Lake City,United States,http://catalogue.rd-connect.eu/web/sudden-arrhythmia-death-syndrome-sads-/reg_home,11897,,,,,,,,,,,,,,,,,,
The Charles E. Holman Morgellons Disease Foundation,The Charles E. Holman Morgellons Disease Foundation,-,,http://catalogue.rd-connect.eu/web/the-charles-e.-holman-morgellons-disease-foundation/reg_home,11909,,,,,,,,,,,,,,,,,,
The FPIES Foundation Global Registry,FPIES Foundation,Stewartville,United States,http://catalogue.rd-connect.eu/web/the-fpies-foundation-global-registry/reg_home,11921,,,,,,,,,,,,,,,,,,
The Global Dystonia Registry,Dystonia Medical Research Foundation,Chicago,United States,http://catalogue.rd-connect.eu/web/the-global-dystonia-registry/reg_home,11933,,,,,,,,,,,,,,,,,,
The I Have IIH Foundation,PatientCrossroads,92037,United States,http://catalogue.rd-connect.eu/web/the-i-have-iih-foundation/reg_home,11945,,,,,,,,,,,,,,,,,,
The International Dysferlinopathy Registry,Aix-Marseille University,Marseille,France,http://catalogue.rd-connect.eu/web/the-international-dysferlinopathy-registry/reg_home,11957,,,,,,,,,,,,,,,,,,
The North American Malignant Hyperthermia Registry of the Malignant Hyperthermia Association,Malignant Hyperthermia Association of the United States,New York,United States,http://catalogue.rd-connect.eu/web/the-north-american-malignant-hyperthermia-registry-of-the-malignant-hyperthermia-association/reg_home,11969,,,,,,,,,,,,,,,,,,
The Romberg’s Connection,PatientCrossroads,La Jolla,United States,http://catalogue.rd-connect.eu/web/the-romberg-s-connection/reg_home,11981,,,,,,,,,,,,,,,,,,
The Sturge-Weber Registry (SWF),Sturge-Weber Foundation,Mt. Freedom,United States,http://catalogue.rd-connect.eu/web/the-sturge-weber-registry-swf-/reg_home,11993,,,,,,,,,,,,,,,,,,
The Susan Sukalich Angioma Alliance Registry,The Angioma Alliance,Norfolk,United States,http://catalogue.rd-connect.eu/web/the-susan-sukalich-angioma-alliance-registry/reg_home,12005,,,,,,,,,,,,,,,,,,
The Transverse Myelitis Association,The Transverse Myelitis Association,Powell,United States,http://catalogue.rd-connect.eu/web/the-transverse-myelitis-association/reg_home,12017,,,,,,,,,,,,,,,,,,
Trisomy 18 Foundation,PatientCrossroads,La Jolla,United States,http://catalogue.rd-connect.eu/web/trisomy-18-foundation/reg_home,12029,,,,,,,,,,,,,,,,,,
UCD International Patient Registry,National Urea Cycle Disorders Foundation,Pasadena-,United States,http://catalogue.rd-connect.eu/web/ucd-international-patient-registry/reg_home,12041,,,,,,,,,,,,,,,,,,
UK Rare Disease Registry (RaDaR),UK Renal Registry,Bristol,United Kingdom,http://catalogue.rd-connect.eu/web/uk-renal-rare-disease-registry-radar-/reg_home,12053,,,,,,,,,,,,,,,,,,
Vestibular Disorders Association,Vestibular Disorders Association,Portland,United States,http://catalogue.rd-connect.eu/web/vestibular-disorders-association/reg_home,12065,,,,,,,,,,,,,,,,,,
Autoimmune neuromuscular disease,Masaryk University,Brno,Czech Republic,http://catalogue.rd-connect.eu/web/autoimunitnimi-nervosvalovymi-onemocnenimi/reg_home,12077,,,,,,,,,,,,,,,,,,
RaDiCo-FARD - French national cohort on the individual burden in the course of rare skin diseases,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-fard/reg_home,128572,,,,,,,,,,,,,,,,,,
RaDiCo-GenIDA - Social network on rare monogenic forms of intellectual disabilities,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-genida/reg_home,128651,,,,,,,,,,,,,,,,,,
RaDiCo-IDMet - French and European cohort on Imprinting Disorders and Metabolism Future.,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-idmet/reg_home,128760,,,,,,,,,,,,,,,,,,
RaDiCo-AC-ŒIL - French national cohort on congenital defects of the eye,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-ac-il/reg_home,128941,,,,,,,,,,,,,,,,,,
RaDiCo-MPS - French national cohort on mucopolysaccharidosis in the era of specific therapeutics.,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-mps/reg_home,129072,,,,,,,,,,,,,,,,,,
Registry NXT - Genzyme's Rare Disease Registries,Genzyme,-,,http://catalogue.rd-connect.eu/web/the-international-collaborative-gaucher-group-gaucher-registry/reg_home,130321,,,,,,,,,,,,,,,,,,
Finnish patient registry on Fabry disease,Turku University Hospital,Turku,Finland,http://catalogue.rd-connect.eu/web/finnish-patient-registry-on-fabry-disease/reg_home,130489,,,,,,,,,,,,,,,,,,
The International Niemann Pick Disease Registry,University Hospital’s Birmingham,Birmingham,United Kingdom,http://catalogue.rd-connect.eu/web/the-international-niemann-pick-disease-registry/reg_home,130824,,,,,,,,,,,,,,,,,,
Niemann-Pick C clinical database,Universität Heidelberg,Heidelberg,Germany,http://catalogue.rd-connect.eu/web/niemann-pick-c-clinical-database/reg_home,130956,,,,,,,,,,,,,,,,,,
National Register of Congenital Malformations,Charles University in Prague,Prague 1,Czech Republic,http://catalogue.rd-connect.eu/web/national-register-of-congenital-malformations-/reg_home,131170,,,,,,,,,,,,,,,,,,
British Isles Network of Congenital Anomaly Registers,Office for National Statistics,Newport,United Kingdom,http://catalogue.rd-connect.eu/web/british-isles-network-of-congenital-anomaly-registers/reg_home,131302,,,,,,,,,,,,,,,,,,
Dent Disease Registry,NYU Langone Medical Cente,New York,United States,http://catalogue.rd-connect.eu/web/dent-disease-registry/reg_home,13611,,,,,,,,,,,,,,,,,,
